CPU_Utilization_Percent,Memory_Utilization_Percent,Network_In_Mbps,Network_Out_Mbps,Network_Throughput_Mbps,Disk_IO_IOPS,Disk_Usage_Percent,Response_Time_ms,Hourly_Cost_USD,Instance_Type,Original_Instance_Type,Instance_ID,Original_Instance_ID,Sequence_ID,Time_Step,Is_Label_Noisy,Label_Encoded
7.683012459,14.85509424,7.131442173,8.093543281,11.77824865,97.93488602,13.48878212,242.422862,0.147276899,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,0,TRUE,8
15.23312995,18.23336928,5.987482151,7.338129989,12.70319291,109.1248394,9.34162676,274.1300667,0.092996732,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,1,TRUE,8
19.76466019,16.66256594,7.617866437,7.1049178,13.25071345,125.3239898,20.78804475,281.5813762,0.001,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,2,TRUE,8
12.63638564,13.66897365,7.651420262,7.200373529,15.5224483,102.3395061,24.603644,328.5033068,0.064960289,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,3,TRUE,8
12.63047699,18.28360235,6.651047155,6.058245956,16.42414183,108.253482,13.63212392,275.649422,0.043873453,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,4,TRUE,8
12.14599171,17.07224305,8.815367499,8.54946416,16.4361323,114.1768493,15.08720271,260.8708908,0.027460738,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,5,TRUE,8
11.32858248,13.95089938,9.384483009,7.459504871,16.23305611,119.6127337,13.71299674,280.2571457,0.067863941,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,6,TRUE,8
13.86703338,19.90817466,8.296654427,11.56387062,12.69751739,113.7313127,17.8952174,263.6589595,0.052059691,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,7,TRUE,8
14.58159037,15.14472176,7.317444395,6.720297545,12.944986,124.879476,18.35821029,277.3496715,0.064726892,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,8,TRUE,8
13.98573673,13.89112243,7.392030763,8.43310977,13.34839931,102.7155218,20.34832711,254.0024392,0.087052118,t2.medium,t2.nano,i-t2-medium-59140c12,i-t2-nano-520aa90d,0,9,TRUE,8
11.58382297,15.45279015,7.172408573,6.804797733,10.46632622,98.61190779,16.14612761,243.3750622,0.031124865,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,0,FALSE,10
13.12919063,22.68883655,8.166108913,7.935111266,14.57348618,95.70437112,20.25655089,281.8678497,0.001290546,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,1,FALSE,10
11.12384146,17.54275201,8.111975583,6.353852225,16.9311617,124.5600731,23.76583017,266.1715835,0.068441625,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,2,FALSE,10
7.444038034,17.68050727,10.29067869,6.659816609,13.73872625,120.055683,18.83293196,255.2274734,0.001,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,3,FALSE,10
8.765345303,16.49262249,7.163312429,9.655031117,13.37482752,112.6818919,22.84916937,262.3469625,0.001,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,4,FALSE,10
15.19902025,9.027408971,7.770633078,8.427298318,16.27525952,101.723769,15.05037339,291.1832317,0.001,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,5,FALSE,10
12.9434091,14.62797316,7.2592361,8.341749795,15.27265004,109.2031062,27.74527643,294.7012407,0.001,t2.nano,t2.nano,i-t2-nano-c2272f8d,i-t2-nano-c2272f8d,1,6,FALSE,10
